created_at,text,coordinates,hashtags
2020-05-24 21:45:17,My packages have been out for delivery since YESTERDAY bitch where the fuck is my FedEx driver.,,[]
2020-05-24 21:45:20,@21Franchini molestarme🤪😘🤡🥰 https://t.co/qTrRGfC6Ns,,[]
2020-05-24 21:45:20,@stckmane,,[]
2020-05-24 21:45:20,@animalcookie9 ¡Lo sé!... Jejeje,,[]
2020-05-24 21:45:21,"They had me at cheesy...

 ""Doom: Annihilation"" on Netflix

https://t.co/un3APtzgjy",,[]
2020-05-24 21:45:22,@QTRResearch @JeffMacke Now... if you wanna impress me... try these  *Wild* Harvested Agavacea SOTOL. https://t.co/qrjfEk4p8C,,[]
2020-05-24 21:45:22,@sergiobecerra @mezcalito_mx @Luiguiapr @marioha10 @Arrintintin @corona 😂😂🤣🤣😂,,[]
2020-05-24 21:45:24,@joseantonio_sa en efecto,,[]
2020-05-24 21:45:25,I have a superiority complex because I buy car detail products at a specialty store and not like a walmart.,,[]
2020-05-24 21:45:25,@arianna_grkk Hermosa,,[]
2020-05-24 21:45:28,Jajajaja corre perra,,[]
2020-05-24 21:45:28,"Ay amix, que cosas de la vida dvdd.",,[]
2020-05-24 21:45:29,https://t.co/AEXCQMjphL,,[]
2020-05-24 21:45:29,@ArthurWeint Exatamente. Falou por mim tb,,[]
2020-05-24 21:45:29,@LuisaAlcalde Está administración es por lo moral...,,[]
2020-05-24 21:45:30,Ella sube pura foto pa' las redes,,[]
2020-05-24 21:45:30,Yo aquí llorandole a un hijo de tezcatlipoca.. Mientras un dios griego europeo me dice que soy hermosa.. Ven como s… https://t.co/4OfoFmEnbe,,[]
2020-05-24 21:45:30,domingo de llorar y comer como obesa,,[]
2020-05-24 21:45:33,@zoexrain me and @comingsoontoVHS were SCRAMBLING yesterday to finish things until the literal minute of our drop lmao,,[]
2020-05-24 21:45:33,https://t.co/KSrGGRXjCj,,[]
2020-05-24 21:45:34,@Sith_Dom Que rico 😋🙊,,[]
2020-05-24 21:45:34,@abrahamchilleta @estefaniapeloz Las belgas,,[]
2020-05-24 21:45:36,"Chancla y pants. Día sesentayalgo en Mexico City, Mexico https://t.co/xlqvhOf3DG","{'type': 'Point', 'coordinates': [-99.1332, 19.4326]}",[]
2020-05-24 21:45:36,Verga chimbo :( ese pure era muy pana.,,[]
2020-05-24 21:45:39,Me siento tan feliz que me da miedo.,,[]
2020-05-24 21:45:40,https://t.co/KSxZFXaxeO,,[]
2020-05-24 21:45:41,@Veckoza *glares,,[]
2020-05-24 21:45:46,Designing a dining room is so exhausting 🙇🏻‍♀️,,[]
